Genus;Epithet;Author;Whole
Bomarea;dulcis;(Hook.) Beauverd       ;Bomarea dulcis (Hook.) Beauverd       
Bomarea;edulis;(Tussac) Herb.       ;Bomarea edulis (Tussac) Herb.       
Bomarea;goniocaulon;Baker        ;Bomarea goniocaulon Baker        
Bomarea;endotrachys;Kraenzl.        ;Bomarea endotrachys Kraenzl.        
Bomarea;engleriana;Kraenzl.        ;Bomarea engleriana Kraenzl.        
Bomarea;euryantha;Alzate        ;Bomarea euryantha Alzate        
Bomarea;formosissima;(Ruiz & Pav.) Herb.     ;Bomarea formosissima (Ruiz & Pav.) Herb.     
Bomarea;graminifolia;Sodiro        ;Bomarea graminifolia Sodiro        
Bomarea;vitellina;Mast.        ;Bomarea vitellina Mast.        
Bomarea;herbertiana;Baker        ;Bomarea herbertiana Baker        
Bomarea;herrerae;Vargas        ;Bomarea herrerae Vargas        
Bomarea;hirsuta;(Kunth) Herb.       ;Bomarea hirsuta (Kunth) Herb.       
Bomarea;lancifolia;Baker        ;Bomarea lancifolia Baker        
Bomarea;longipes;Baker        ;Bomarea longipes Baker        
Bomarea;pardina;Herb.        ;Bomarea pardina Herb.        
Bomarea;lutea;Herb.        ;Bomarea lutea Herb.        
Bomarea;macusanii;Hofreiter & E.Rodr.      ;Bomarea macusanii Hofreiter & E.Rodr.      
Bomarea;moritziana;Klotzsch ex Kunth      ;Bomarea moritziana Klotzsch ex Kunth      
Bomarea;multipes;Benth.        ;Bomarea multipes Benth.        
Bomarea;nematocaulon;Killip        ;Bomarea nematocaulon Killip        
Bomarea;obovata;Herb.        ;Bomarea obovata Herb.        
Bomarea;ovata;(Cav.) Mirb.       ;Bomarea ovata (Cav.) Mirb.       
Bomarea;parvifolia;Baker        ;Bomarea parvifolia Baker        
Bomarea;patinii;Baker        ;Bomarea patinii Baker        
Bomarea;purpurea;(Ruiz & Pav.) Herb.     ;Bomarea purpurea (Ruiz & Pav.) Herb.     
Bomarea;rosea;(Ruiz & Pav.) Herb.     ;Bomarea rosea (Ruiz & Pav.) Herb.     
Bomarea;salsilla;(L.) Mirb.       ;Bomarea salsilla (L.) Mirb.       
Bomarea;setacea;(Ruiz & Pav.) Herb.     ;Bomarea setacea (Ruiz & Pav.) Herb.     
Bomarea;speciosa;Killip        ;Bomarea speciosa Killip        
Bomarea;superba;Herb.        ;Bomarea superba Herb.        
Bomarea;tarmensis;Kraenzl.        ;Bomarea tarmensis Kraenzl.        
Bomarea;torta;(Kunth) Herb.       ;Bomarea torta (Kunth) Herb.       
Bomarea;tribrachiata;Kraenzl.        ;Bomarea tribrachiata Kraenzl.        
Bomarea;truxillensis;Stergios & Dorr      ;Bomarea truxillensis Stergios & Dorr      
Bomarea;uncifolia;Herb.        ;Bomarea uncifolia Herb.        
Bomarea;weigendii;Hofreiter & E.Rodr.      ;Bomarea weigendii Hofreiter & E.Rodr.      
Alternanthera;grandis;Eliasson        ;Alternanthera grandis Eliasson        
Alternanthera;pubiflora;(Benth.) Kuntze       ;Alternanthera pubiflora (Benth.) Kuntze       
Celosia;nitida;Vahl        ;Celosia nitida Vahl        
Chamissoa;acuminata;Mart.        ;Chamissoa acuminata Mart.        
Chamissoa;altissima;(Jacq.) Kunth       ;Chamissoa altissima (Jacq.) Kunth       
Gomphrena;scandens;(R.E.Fr.) J.C.Siqueira       ;Gomphrena scandens (R.E.Fr.) J.C.Siqueira       
Gomphrena;vaga;Mart.        ;Gomphrena vaga Mart.        
Hebanthe;grandiflora;(Hook.) Borsch & Pedersen     ;Hebanthe grandiflora (Hook.) Borsch & Pedersen     
Hebanthe;occidentalis;(R.E.Fr.) Borsch & Pedersen     ;Hebanthe occidentalis (R.E.Fr.) Borsch & Pedersen     
Hebanthe;pulverulenta;Mart.        ;Hebanthe pulverulenta Mart.        
Hebanthe;reticulata;(Seub.) Borsch & Pedersen     ;Hebanthe reticulata (Seub.) Borsch & Pedersen     
Hebanthe;spicata;Mart.        ;Hebanthe spicata Mart.        
Iresine;angustifolia;Euphrasén        ;Iresine angustifolia Euphrasén        
Iresine;diffusa;Kunth ex Willd.      ;Iresine diffusa Kunth ex Willd.      
Iresine;interrupta;Benth.        ;Iresine interrupta Benth.        
Iresine;nigra;Uline & W.L.Bray      ;Iresine nigra Uline & W.L.Bray      
Iresine;palmeri;(S.Watson) Standl.       ;Iresine palmeri (S.Watson) Standl.       
Iresine;pedicellata;Eliasson        ;Iresine pedicellata Eliasson        
Iresine;rzedowskii;Zumaya & al.      ;Iresine rzedowskii Zumaya & al.      
Pedersenia;argentata;(Mart.) Holub       ;Pedersenia argentata (Mart.) Holub       
Pfaffia;completa;(Uline & W.L.Bray) Borsch     ;Pfaffia completa (Uline & W.L.Bray) Borsch     
Pfaffia;costaricensis;(Standl.) Borsch       ;Pfaffia costaricensis (Standl.) Borsch       
Pedersenia;macrophylla;(R.E.Fr.) Holub       ;Pedersenia macrophylla (R.E.Fr.) Holub       
Pedersenia;volubilis;Borsch & al.      ;Pedersenia volubilis Borsch & al.      
Pleuropetalum;pleiogynum;(Kuntze) Standl.       ;Pleuropetalum pleiogynum (Kuntze) Standl.       
Rhus;terebinthifolia;Cham. & Schltdl.      ;Rhus terebinthifolia Cham. & Schltdl.      
Toxicodendron;radicans;(L.) Kuntze       ;Toxicodendron radicans (L.) Kuntze       
Annona;ambotay;Aubl.        ;Annona ambotay Aubl.        
Annona;cordifolia;(Poepp. ex Szyszyl.) Poepp. ex Maas Westra  ;Annona cordifolia (Poepp. ex Szyszyl.) Poepp. ex Maas Westra  
Annona;haematantha;Miq.        ;Annona haematantha Miq.        
Annona;hypoglauca;Mart.        ;Annona hypoglauca Mart.        
Annona;hystricoides;A.H.Gentry        ;Annona hystricoides A.H.Gentry        
Annona;mammifera;(Maas & Westra) H.Rainer     ;Annona mammifera (Maas & Westra) H.Rainer     
Annona;scandens;Diels ex Pilg.      ;Annona scandens Diels ex Pilg.      
Guatteria;beckii;Maas & Westra      ;Guatteria beckii Maas & Westra      
Guatteria;wachenheimi;Benoist        ;Guatteria wachenheimi Benoist        
Guatteria;scandens;Ducke        ;Guatteria scandens Ducke        
Allamanda;cathartica;L.        ;Allamanda cathartica L.        
Allamanda;doniana;Müll.Arg.        ;Allamanda doniana Müll.Arg.        
Allamanda;oenotherifolia;Pohl        ;Allamanda oenotherifolia Pohl        
Allamanda;schottii;Pohl        ;Allamanda schottii Pohl        
Allamanda;thevetifolia;Müll.Arg.        ;Allamanda thevetifolia Müll.Arg.        
Allomarkgrafia;antioquiana;J.F.Morales        ;Allomarkgrafia antioquiana J.F.Morales        
Allomarkgrafia;brenesiana;Woodson        ;Allomarkgrafia brenesiana Woodson        
Allomarkgrafia;campanulata;(Markgr. ex A.H.Gentry) J.F.Morales     ;Allomarkgrafia campanulata (Markgr. ex A.H.Gentry) J.F.Morales     
Allomarkgrafia;ecuatoriana;J.F.Morales        ;Allomarkgrafia ecuatoriana J.F.Morales        
Allomarkgrafia;foreroi;A.H.Gentry        ;Allomarkgrafia foreroi A.H.Gentry        
