"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Mechanism"
"25","Mikania bulbisetifera Cuatrec.",5.676409,0.004872,1.2e-05,7.560635,0.205301,0.023235,7.120563,0.042442,0.00189,9.503439,0.146333,0.025218,"Mechanism_1"
"26","Mikania burchellii Baker",5.682315,0.002886,1.1e-05,6.937089,0.103691,0.019916,7.265426,0.03498,0.00162,8.922027,0.126951,0.021615,"Mechanism_1"
"27","Mikania campanulata Gardner",5.683409,0.004808,1.2e-05,7.272602,0.093255,0.023235,7.1953,0.047685,0.00189,9.284414,0.113465,0.025218,"Mechanism_1"
"28","Mikania camporum B.L.Rob.",5.665035,0.002103,1.8e-05,7.600384,0.063852,0.034853,7.055999,0.037508,0.002834,9.647083,0.052064,0.037827,"Mechanism_1"
"29","Mikania candolleana Gardner",5.679639,0.002928,1.2e-05,7.333929,0.098553,0.023235,7.158352,0.021761,0.00189,9.237294,0.117463,0.025218,"Mechanism_1"
"30","Mikania capricorni B.L.Rob.",5.690165,0.007469,1.2e-05,7.148331,0.083457,0.023235,7.338625,0.067271,0.00189,9.056035,0.173757,0.025218,"Mechanism_1"
"31","Mikania cardiophylla B.L.Rob.",5.696254,NA,7.4e-05,7.434848,NA,0.139413,7.38709,NA,0.011337,9.15059,NA,0.151306,"Mechanism_1"
"32","Mikania chaetoloba Pruski",5.696925,0.000671,3.7e-05,7.617478,0.039332,0.069706,7.33372,0.08025,0.005669,9.646153,0.26018,0.075653,"Mechanism_1"
"33","Mikania chlorolepis Baker",5.67822,0.005431,1.2e-05,7.341942,0.151107,0.023235,7.14207,0.032376,0.00189,9.373071,0.118244,0.025218,"Mechanism_1"
"34","Mikania coarctata Gardner",5.685788,NA,7.4e-05,7.214504,NA,0.139413,7.251345,NA,0.011337,9.203316,NA,0.151306,"Mechanism_1"
"35","Mikania comarapensis B.L.Rob.",5.67212,NA,7.4e-05,6.836259,NA,0.139413,7.328437,NA,0.011337,8.756682,NA,0.151306,"Mechanism_1"
"36","Mikania concinna Standl. & Steyerm.",5.673151,NA,7.4e-05,7.285507,NA,0.139413,7.154615,NA,0.011337,9.330166,NA,0.151306,"Mechanism_1"
"37","Mikania conferta Gardner",5.671321,0.004001,1.8e-05,7.280456,0.130528,0.034853,7.116639,0.041542,0.002834,9.391623,0.033109,0.037827,"Mechanism_1"
"38","Mikania congesta DC.",5.69764,0.000911,1e-06,7.618186,0.038165,0.001437,7.309712,0.015593,0.000117,9.52912,0.046301,0.00156,"Mechanism_1"
"39","Mikania crassifolia Hieron.",5.699942,NA,7.4e-05,7.473069,NA,0.139413,7.219642,NA,0.011337,9.496121,NA,0.151306,"Mechanism_1"
"40","Mikania cristata B.L.Rob.",5.678357,0.003851,1.8e-05,8.06414,0.123053,0.034853,7.26803,0.021918,0.002834,10.12989,0.036417,0.037827,"Mechanism_1"
"41","Mikania cuatrecasasii W.C.Holmes",5.660701,NA,7.4e-05,7.69257,NA,0.139413,7.250636,NA,0.011337,9.668967,NA,0.151306,"Mechanism_1"
"42","Mikania cuencana Hieron.",5.685019,0.001819,1.8e-05,8.076585,0.197714,0.034853,7.096496,0.057109,0.002834,10.130401,0.278887,0.037827,"Mechanism_1"
"43","Mikania decora Poepp. & Endl.",5.673288,0.003766,4e-06,7.455913,0.092098,0.006639,7.099906,0.027868,0.00054,9.444579,0.099971,0.007205,"Mechanism_1"
"44","Mikania desmocephala B.L.Rob.",5.674492,0.008912,1.8e-05,7.694033,0.326402,0.034853,7.248806,0.034708,0.002834,9.210544,0.285439,0.037827,"Mechanism_1"
"45","Mikania dictyota B.L.Rob.",5.644185,0.00497,2.5e-05,7.111849,0.069948,0.046471,7.224223,0.064293,0.003779,8.64231,0.164927,0.050435,"Mechanism_1"
"46","Mikania duckei G.M.Barroso",5.690249,0.002122,1.5e-05,7.095898,0.224856,0.027883,7.207064,0.015797,0.002267,9.056971,0.207697,0.030261,"Mechanism_1"
"47","Mikania duidensis B.L.Rob.",5.676613,0.004338,1.5e-05,7.96036,0.041172,0.027883,7.312266,0.034401,0.002267,9.647936,0.082206,0.030261,"Mechanism_1"
"48","Mikania elliptica DC.",5.685614,0.00105,7e-06,6.7672,0.053142,0.013941,7.317871,0.017694,0.001134,8.591744,0.042144,0.015131,"Mechanism_1"
"49","Mikania erioclada DC.",5.674868,NA,7.4e-05,7.281386,NA,0.139413,7.234177,NA,0.011337,9.399969,NA,0.151306,"Mechanism_1"
"50","Mikania eucosma B.L.Rob.",5.652665,NA,7.4e-05,7.255591,NA,0.139413,7.205635,NA,0.011337,8.742574,NA,0.151306,"Mechanism_1"
"51","Mikania featherstonei B.L.Rob.",5.667174,0.001299,2.5e-05,7.28573,0.196113,0.046471,7.154754,0.076412,0.003779,9.02919,0.213559,0.050435,"Mechanism_1"
"52","Mikania firmula Baker",5.696049,0.001401,1.5e-05,7.375049,0.126256,0.027883,7.284024,0.024584,0.002267,9.279624,0.136466,0.030261,"Mechanism_1"
"53","Mikania flabellata Rusby ex B.L.Rob.",5.656968,0.003744,2.5e-05,7.448252,0.19362,0.046471,7.095972,0.059823,0.003779,9.269699,0.113845,0.050435,"Mechanism_1"
"54","Mikania flaccida B.L.Rob.",5.681025,NA,7.4e-05,6.93537,NA,0.139413,7.41698,NA,0.011337,8.917445,NA,0.151306,"Mechanism_1"
