"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"59","Machaerium eliasii Rudd","1","5.705614",NA,NA,"3.6e-05","Machaerium eliasii Rudd","1","6.971669",NA,NA,"0.116739","Machaerium eliasii Rudd","1","7.573017",NA,NA,"0.010833","Machaerium eliasii Rudd","1","8.39976",NA,NA,"0.121683"
"60","Machaerium falciforme Rudd","9","5.701761","0.001468","0.000489","4e-06","Machaerium falciforme Rudd","9","7.412843","0.299638","0.099879","0.012971","Machaerium falciforme Rudd","9","7.544184","0.076029","0.025343","0.001204","Machaerium falciforme Rudd","9","9.122786","0.414904","0.138301","0.01352"
"61","Machaerium froesii Rudd","8","5.701487","0.001684","0.000595","4e-06","Machaerium froesii Rudd","8","7.723611","0.153924","0.05442","0.014592","Machaerium froesii Rudd","8","7.259008","0.032498","0.01149","0.001354","Machaerium froesii Rudd","8","9.686324","0.107374","0.037962","0.01521"
"62","Machaerium glabratum Pittier","4","5.690782","0.014947","0.007474","9e-06","Machaerium glabratum Pittier","4","7.77418","0.494221","0.247111","0.029185","Machaerium glabratum Pittier","4","7.358093","0.044545","0.022272","0.002708","Machaerium glabratum Pittier","4","9.64266","0.178701","0.08935","0.030421"
"63","Machaerium glabrum Vogel","3","5.690629","0.005911","0.003413","1.2e-05","Machaerium glabrum Vogel","3","7.217072","0.135028","0.077958","0.038913","Machaerium glabrum Vogel","3","7.180586","0.02709","0.01564","0.003611","Machaerium glabrum Vogel","3","9.165957","0.095584","0.055185","0.040561"
"64","Machaerium gracile Benth.","4","5.687564","0.003416","0.001708","9e-06","Machaerium gracile Benth.","4","6.997965","0.149584","0.074792","0.029185","Machaerium gracile Benth.","4","7.185688","0.078767","0.039384","0.002708","Machaerium gracile Benth.","4","9.036203","0.343925","0.171962","0.030421"
"65","Machaerium guanaiense Rusby ex Rudd","2","5.693058","0.001668","0.001179","1.8e-05","Machaerium guanaiense Rusby ex Rudd","2","7.353242","0.665818","0.470804","0.05837","Machaerium guanaiense Rusby ex Rudd","2","7.291615","0.1174","0.083014","0.005416","Machaerium guanaiense Rusby ex Rudd","2","9.444732","0.336296","0.237797","0.060842"
"66","Machaerium guaremalense Pittier","1","5.699942",NA,NA,"3.6e-05","Machaerium guaremalense Pittier","1","7.18007",NA,NA,"0.116739","Machaerium guaremalense Pittier","1","7.503841",NA,NA,"0.010833","Machaerium guaremalense Pittier","1","8.866017",NA,NA,"0.121683"
"67","Machaerium hoehneanum Ducke","2","5.701279","0.000473","0.000334","1.8e-05","Machaerium hoehneanum Ducke","2","7.803551","0.018765","0.013269","0.05837","Machaerium hoehneanum Ducke","2","7.183088","0.009664","0.006833","0.005416","Machaerium hoehneanum Ducke","2","9.804173","0.058203","0.041156","0.060842"
"68","Machaerium huanucoense Rudd","2","5.698267","0.000474","0.000335","1.8e-05","Machaerium huanucoense Rudd","2","7.88969","0.403467","0.285294","0.05837","Machaerium huanucoense Rudd","2","7.131551","0.128714","0.091015","0.005416","Machaerium huanucoense Rudd","2","9.998564","0.193","0.136472","0.060842"
"69","Machaerium humboldtianum Vogel","8","5.696205","0.014509","0.00513","4e-06","Machaerium humboldtianum Vogel","8","7.035012","0.585419","0.206977","0.014592","Machaerium humboldtianum Vogel","8","7.468467","0.158627","0.056083","0.001354","Machaerium humboldtianum Vogel","8","8.776098","0.529987","0.187379","0.01521"
