"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"44","Machaerium biovulatum Micheli","69","24.643478","2.058732","0.247842","0.045046","Machaerium biovulatum Micheli","69","1808.028986","800.279215","96.342296","7861.538049","Machaerium biovulatum Micheli","68","1764.735294","168.399278","20.421412","348.671067","Machaerium biovulatum Micheli","68","10592.794118","5209.420146","631.734986","374164.662549"
"45","Machaerium bondaense Pittier","2","24.35","2.474874","1.75","1.554095","Machaerium bondaense Pittier","2","2475.5","511.238203","361.5","271223.062696","Machaerium bondaense Pittier","2","1588.5","152.027958","107.5","11854.816282","Machaerium bondaense Pittier","2","11404","2757.716447","1950","12721598.52667"
"46","Machaerium brasiliense Vogel","64","23.265625","1.986959","0.24837","0.048565","Machaerium brasiliense Vogel","64","1295.515625","374.529249","46.816156","8475.720709","Machaerium brasiliense Vogel","64","1500","147.831199","18.4789","370.463009","Machaerium brasiliense Vogel","64","8513.328125","2555.647006","319.455876","397549.953958"
"47","Machaerium campylothyrsum Hoehne","1","24.8",NA,NA,"3.108191","Machaerium campylothyrsum Hoehne","1","1878",NA,NA,"542446.125393","Machaerium campylothyrsum Hoehne","1","1191",NA,NA,"23709.632564","Machaerium campylothyrsum Hoehne","1","17512",NA,NA,"25443197.05334"
"48","Machaerium cantarellianum Hoehne","5","23","1.714643","0.766812","0.621638","Machaerium cantarellianum Hoehne","5","1398","207.10746","92.621272","108489.225079","Machaerium cantarellianum Hoehne","5","1317.4","68.817149","30.775965","4741.926513","Machaerium cantarellianum Hoehne","5","10359.6","2121.399373","948.718641","5088639.410668"
"49","Machaerium caratinganum Kuhlm. & Hoehne","2","21.45","1.06066","0.75","1.554095","Machaerium caratinganum Kuhlm. & Hoehne","2","987.5","443.355952","313.5","271223.062696","Machaerium caratinganum Kuhlm. & Hoehne","2","1342","100.409163","71","11854.816282","Machaerium caratinganum Kuhlm. & Hoehne","2","7682","3139.554108","2220","12721598.52667"
"50","Machaerium castaneiflorum Ducke","3","25.766667","1.021437","0.589727","1.036064","Machaerium castaneiflorum Ducke","3","2106.666667","188.399398","108.772443","180815.375131","Machaerium castaneiflorum Ducke","3","1331.333333","35.161532","20.30052","7903.210855","Machaerium castaneiflorum Ducke","3","15871","2173.454163","1254.844346","8481065.684447"
"51","Machaerium chiapense Brandegee","6","21.616667","1.279714","0.522441","0.518032","Machaerium chiapense Brandegee","6","1152.166667","173.831432","70.966385","90407.687565","Machaerium chiapense Brandegee","6","1776","81.422356","33.240538","3951.605427","Machaerium chiapense Brandegee","6","5608","1618.946571","660.93217","4240532.842223"
"52","Machaerium cirrhiferum Pittier","13","25.092308","1.140513","0.316321","0.239092","Machaerium cirrhiferum Pittier","13","1921","668.296341","185.352056","41726.62503","Machaerium cirrhiferum Pittier","13","1802.692308","131.053669","36.347748","1823.81789","Machaerium cirrhiferum Pittier","13","11525.461538","4665.825036","1294.067032","1957169.004103"
"53","Machaerium cobanense Donn.Sm.","17","21.052941","2.302205","0.558367","0.182835","Machaerium cobanense Donn.Sm.","17","2198.470588","859.793588","208.530575","31908.595611","Machaerium cobanense Donn.Sm.","17","1647.470588","96.999431","23.525818","1394.684268","Machaerium cobanense Donn.Sm.","17","12751.294118","5100.303383","1237.005269","1496658.650196"
"54","Machaerium complanatum Ducke","2","20","0","0","1.554095","Machaerium complanatum Ducke","2","1181","0","0","271223.062696","Machaerium complanatum Ducke","2","1485","0","0","11854.816282","Machaerium complanatum Ducke","2","8437","0","0","12721598.52667"
"55","Machaerium condensatum Kuhlm. & Hoehne","8","23.9875","1.549597","0.547865","0.388524","Machaerium condensatum Kuhlm. & Hoehne","8","1419.375","280.13259","99.041827","67805.765674","Machaerium condensatum Kuhlm. & Hoehne","8","1401.875","83.266247","29.439064","2963.704071","Machaerium condensatum Kuhlm. & Hoehne","8","10208.5","1739.038733","614.84304","3180399.631668"
"56","Machaerium costulatum Rudd","1","25.3",NA,NA,"3.108191","Machaerium costulatum Rudd","1","2806",NA,NA,"542446.125393","Machaerium costulatum Rudd","1","1215",NA,NA,"23709.632564","Machaerium costulatum Rudd","1","21077",NA,NA,"25443197.05334"
