"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Mechanism"
"1624","Aristolochia mossii S.Moore",5.695115,0.001241,9e-06,7.49487,0.171357,0.017427,7.302014,0.040326,0.001417,9.432688,0.200343,0.018913,"Mechanism_1"
"1625","Aristolochia nelsonii Eastw.",5.701947,NA,7.4e-05,6.602588,NA,0.139413,7.607878,NA,0.011337,8.689128,NA,0.151306,"Mechanism_1"
"1626","Aristolochia nevesarmondiana Hoehne",5.692317,0.003316,2.5e-05,6.969573,0.10454,0.046471,7.204563,0.039367,0.003779,9.082577,0.094964,0.050435,"Mechanism_1"
"1627","Aristolochia nummularifolia Kunth",5.696135,0.000904,2e-06,7.484357,0.059079,0.003575,7.37049,0.010228,0.000291,9.313365,0.05293,0.00388,"Mechanism_1"
"1628","Aristolochia oblongata Jacq.",5.68443,NA,7.4e-05,6.96885,NA,0.139413,7.463363,NA,0.011337,8.664578,NA,0.151306,"Mechanism_1"
"1629","Aristolochia odora Steud.",5.692051,0.003872,1.5e-05,7.285678,0.159854,0.027883,7.2925,0.040778,0.002267,9.095166,0.156095,0.030261,"Mechanism_1"
"1630","Aristolochia odoratissima L.",5.696315,0.001535,2e-06,7.428455,0.064532,0.002845,7.383029,0.021083,0.000231,9.232935,0.073224,0.003088,"Mechanism_1"
"1631","Aristolochia ovalifolia Duch.",5.698834,0.001641,1.1e-05,7.637904,0.105516,0.019916,7.456297,0.020286,0.00162,9.379018,0.149258,0.021615,"Mechanism_1"
"1632","Aristolochia pannosoides Hoehne",5.699607,0.00067,3.7e-05,7.717267,0.077144,0.069706,7.399281,0.015292,0.005669,9.540342,0.121201,0.075653,"Mechanism_1"
"1633","Aristolochia papillaris Mast.",5.694015,0.002166,6e-06,7.084133,0.075708,0.011618,7.368935,0.013975,0.000945,8.873456,0.07878,0.012609,"Mechanism_1"
"1634","Aristolochia paracleta Pfeifer",5.701947,NA,7.4e-05,7.845024,NA,0.139413,7.526718,NA,0.011337,9.585003,NA,0.151306,"Mechanism_1"
"1635","Aristolochia paramaribensis Duch.",5.698767,0.001398,1.8e-05,7.768785,0.117641,0.034853,7.396304,0.020804,0.002834,9.441195,0.039394,0.037827,"Mechanism_1"
