"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"51","Clematis seemannii Kuntze","7","10.757143","7.511737","2.83917","2.275947","Clematis seemannii Kuntze","7","776.857143","491.824979","185.892369","81142.884799","Clematis seemannii Kuntze","7","1349.714286","234.088811","88.477254","4467.848344","Clematis seemannii Kuntze","7","6669.857143","3471.197124","1311.989192","4055444.949863"
"52","Clematis ulbrichiana Pilg.","1","13.5",NA,NA,"15.931629","Clematis ulbrichiana Pilg.","1","1628",NA,NA,"568000.19359","Clematis ulbrichiana Pilg.","1","1141",NA,NA,"31274.938411","Clematis ulbrichiana Pilg.","1","18120",NA,NA,"28388114.649038"
"53","Clematis uruboensis Lourteig","1","24.2",NA,NA,"15.931629","Clematis uruboensis Lourteig","1","1294",NA,NA,"568000.19359","Clematis uruboensis Lourteig","1","1806",NA,NA,"31274.938411","Clematis uruboensis Lourteig","1","6393",NA,NA,"28388114.649038"
"54","Solanum aspersum S.Knapp","5","15.12","5.738205","2.566203","3.186326","Solanum aspersum S.Knapp","5","2122.2","763.463621","341.431311","113600.038718","Solanum aspersum S.Knapp","5","1305.4","169.473597","75.790897","6254.987682","Solanum aspersum S.Knapp","5","16036.2","4762.41506","2129.816762","5677622.929808"
"55","Solanum calileguae Cabrera","1","15.4",NA,NA,"15.931629","Solanum calileguae Cabrera","1","464",NA,NA,"568000.19359","Solanum calileguae Cabrera","1","1742",NA,NA,"31274.938411","Solanum calileguae Cabrera","1","3943",NA,NA,"28388114.649038"
"56","Solanum dichroandrum Dunal","12","14.608333","5.334017","1.539798","1.327636","Solanum dichroandrum Dunal","12","1809.666667","666.328793","192.352554","47333.349466","Solanum dichroandrum Dunal","12","1348.083333","142.068139","41.011539","2606.244868","Solanum dichroandrum Dunal","12","11971.75","4435.482983","1280.413647","2365676.220753"
"57","Solanum flaccidum Vell.","8","20.125","0.988144","0.349362","1.991454","Solanum flaccidum Vell.","8","1362.25","156.758003","55.422323","71000.024199","Solanum flaccidum Vell.","8","1301","99.497308","35.177611","3909.367301","Solanum flaccidum Vell.","8","10839.375","1076.459134","380.585777","3548514.33113"
"58","Solanum laxum Spreng.","6","21.366667","4.210305","1.71885","2.655271","Solanum laxum Spreng.","6","1469.666667","342.37679","139.774739","94666.698932","Solanum laxum Spreng.","6","1446.333333","91.156276","37.214394","5212.489735","Solanum laxum Spreng.","6","9115.333333","2118.83663","865.011432","4731352.441506"
"59","Solanum luculentum C.V.Morton ex S.Knapp","3","16.4","2.778489","1.604161","5.310543","Solanum luculentum C.V.Morton ex S.Knapp","3","2361","514.457967","297.022446","189333.397863","Solanum luculentum C.V.Morton ex S.Knapp","3","1406","128.642917","74.272023","10424.97947","Solanum luculentum C.V.Morton ex S.Knapp","3","18137.666667","3050.984814","1761.486904","9462704.883013"
"60","Solanum odoriferum Vell.","5","19.68","2.485357","1.111485","3.186326","Solanum odoriferum Vell.","5","1543","254.719454","113.914003","113600.038718","Solanum odoriferum Vell.","5","1243.8","54.819704","24.516117","6254.987682","Solanum odoriferum Vell.","5","11932","1697.351024","759.078454","5677622.929808"
"61","Solanum pyrifolium Lam.","1","14.5",NA,NA,"15.931629","Solanum pyrifolium Lam.","1","1260",NA,NA,"568000.19359","Solanum pyrifolium Lam.","1","1472",NA,NA,"31274.938411","Solanum pyrifolium Lam.","1","10515",NA,NA,"28388114.649038"
"62","Solanum sanchez-vegae S.Knapp","3","11.466667","3.356089","1.937639","5.310543","Solanum sanchez-vegae S.Knapp","3","939.666667","577.14845","333.216813","189333.397863","Solanum sanchez-vegae S.Knapp","3","1276","201.650688","116.423079","10424.97947","Solanum sanchez-vegae S.Knapp","3","8974.666667","4802.680224","2772.82872","9462704.883013"
"63","Solanum uncinellum Lindl.","133","24.014286","3.081448","0.267195","0.119787","Solanum uncinellum Lindl.","133","2200.661654","921.859566","79.935362","4270.678147","Solanum uncinellum Lindl.","133","1452.203008","201.34317","17.458667","235.149913","Solanum uncinellum Lindl.","133","15279.195489","6881.6767","596.717047","213444.471045"
"64","Solanum viscosissimum Sendtn.","14","20.521429","2.630642","0.703069","1.137973","Solanum viscosissimum Sendtn.","14","1455.857143","454.779381","121.544902","40571.442399","Solanum viscosissimum Sendtn.","14","1353.857143","137.108524","36.643794","2233.924172","Solanum viscosissimum Sendtn.","14","10043.428571","2842.474835","759.683355","2027722.474931"
